sample_id,stt_transcript,meaning_preserved,question_understood,correct_answer_selected,duplicate,confident_wrong,latency_ms,notes
V5A_001,"Could you walk me through your background, and what brought you into a eyework?",1,1,1,0,0,2462.8,ANSWER_READY
V5A_002,Give me a quick picture of your experience and how it connects to this AI roll.,1,1,1,0,0,5046.0,ANSWER_READY
V5A_003,"If you have one minute to introduce yourself for this position, what will you focus on?",1,1,1,0,0,1731.0,ANSWER_READY
V5A_004,"How will you describe what you actually do in your current role, beyond the dot title?",1,1,1,0,0,1175.5,ANSWER_READY
V5A_005,What does your data-day work look like when you are supporting BTEC and AI projects?,1,1,0,0,0,2199.5,LOW_CONFIDENCE
V5A_006,"If I joined your team for a day, what kind of technical work will I see you doing?",1,1,1,0,0,2937.0,ANSWER_READY
V5A_007,What made you move toward Agenticai instead of staying with normal chatbot solutions?,1,1,1,0,0,1886.5,ANSWER_READY
V5A_008,Why does this roll around AI agents is the direction you want to fake next?,1,1,1,0,0,2134.0,ANSWER_READY
V5A_009,What is it about a genetic systems that interests you more than a basic LLM application?,1,0,0,0,0,1691.6,LOW_CONFIDENCE
V5A_010,Can you explain where retrieval actually fitted into the ministry-beetec solution you worked on?,1,1,0,0,0,2140.7,LOW_CONFIDENCE
V5A_011,"In your ministry project, how did you make the model use the right BTEC content before answering?",1,1,1,0,0,4179.5,ANSWER_READY
V5A_012,Walk me through how external VET knowledge reached the language model in your road.,1,0,0,0,0,2939.3,LOW_CONFIDENCE
V5A_013,Suppose the knowledge changes often. Why might you choose retrieval instead of fine-tuning her model?,1,1,1,0,0,1816.2,ANSWER_READY
V5A_014,"If the business keeps up paving its documents, how will you decide between RAG and fine-tuning?",1,1,1,0,0,2838.5,ANSWER_READY
V5A_015,What would push you toward RAG rather than training the model again on company knowledge?,1,1,0,0,0,2064.5,LOW_CONFIDENCE
V5A_016,"When you say you created embeddings, what problem were those numerical representations solving for you?",1,0,0,0,0,2883.5,LOW_CONFIDENCE
V5A_017,How with turning the text into vectors help the system finds the right VETEC information.,1,1,1,0,0,1250.7,ANSWER_READY
V5A_018,Explain what embeddings gave your retrieval system that normal keyword matching did not.,1,1,1,0,0,1724.3,ANSWER_READY
V5A_019,"Where did a vector database, such as ChromaDB fit into the retrieval pipeline?",1,1,1,0,0,1534.7,ANSWER_READY
V5A_020,"Why would you store embeddings in ChromaDB, instead of keeping everything in normal SQL tables?",1,1,0,0,0,1604.9,LOW_CONFIDENCE
V5A_021,What role did the vectors for play between your documents and the language model?,1,0,0,0,0,2297.1,LOW_CONFIDENCE
V5A_022,"If they're not humans in two long to send to the model, how do you design how can break it into useful pieces?",1,0,0,0,0,4973.6,LOW_CONFIDENCE
V5A_023,How would you chunk a long policy document without losing the meaning between sections?,1,1,1,0,0,1774.0,ANSWER_READY
V5A_024,What is your approach when the source material is much larger than the model concept window?,1,0,0,0,0,1926.1,LOW_CONFIDENCE
V5A_025,How do you know the retriever is bringing back the right information rather than just something similar?,1,1,0,0,0,1842.8,LOW_CONFIDENCE
V5A_026,What would you measure cut when a retrieval quality is actually known enough for production?,1,1,0,0,0,2165.2,LOW_CONFIDENCE
V5A_027,"If the final answer looks wrong, how do you separate a retrieval problem from an LLM problem?",1,1,1,0,0,3904.0,ANSWER_READY
V5A_028,What would you put in place so the model does not confidently invent facts that are not in the source?,1,1,0,0,0,2464.4,LOW_CONFIDENCE
V5A_029,"If the LLM starts giving unsupported answers, how would you reduce that behavior?",1,0,1,0,0,3758.7,ANSWER_READY
V5A_030,How do you keep an AI assistance grounded when the available context does not contain the answer?,1,0,0,0,0,2509.7,LOW_CONFIDENCE
V5A_031,Where would guardrails sit in an A system and what kinds of mistakes are they meant to stop?,1,1,1,0,0,2102.8,ANSWER_READY
V5A_032,"How would you stop an agent from taking an unsafe action even, if the model suggests it?",1,0,0,0,0,2395.3,LOW_CONFIDENCE
V5A_033,"If this system were used by a government organization, what controls what you place around the model?",1,0,0,0,0,3159.8,LOW_CONFIDENCE
V5A_034,"Which decisions would you still lead to the human, instead of letting the agent complete them automatically?",1,0,0,0,0,2428.0,LOW_CONFIDENCE
V5A_035,Where exactly will you put human approval in a where so that can make action?,1,1,1,0,0,1873.4,ANSWER_READY
V5A_036,How do you decide when an A agent can continue alone and when it must ask a person?,1,0,1,0,0,3031.7,ANSWER_READY
V5A_037,What did LangChain give you that you would otherwise have needed to build yourself?,1,1,1,0,0,1379.4,ANSWER_READY
V5A_038,"In a real project, where would then change it between the model, retrieval, prompts, and tools?",1,0,1,0,0,3150.6,ANSWER_READY
V5A_039,"Why won't you use LangChain at all, instead of calling the model API directly?",1,1,0,0,0,2000.6,LOW_CONFIDENCE
V5A_040,When the work flow becomes complex enough that you would prefer and wrap over a simple chain?,1,0,0,0,0,2345.1,LOW_CONFIDENCE
V5A_041,"How would then draft help when an agent needs state, branching, retries, and several possible paths?",1,0,0,0,0,1642.0,LOW_CONFIDENCE
