sample_id,question_id,main_question,spoken_wording,speaker_profile,requested_region_profile,voice_note,condition,expected_topic_hint,expected_answer,sample_rate_hz,channels,file
1,156,What is RAG?,What is RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,clean,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_indian_synthetic_clean.wav
2,156,What is RAG?,What is RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,fast,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_indian_synthetic_fast.wav
3,156,What is RAG?,What is RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,office_noise,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_indian_synthetic_office_noise.wav
4,156,What is RAG?,What is RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,far,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_indian_synthetic_far.wav
5,156,What is RAG?,What is RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,poor_call,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_indian_synthetic_poor_call.wav
6,156,What is RAG?,What is RAG?,indian_synthetic,indian,offline synthetic approximation; not an authentic human national accent,combined,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_indian_synthetic_combined.wav
7,156,What is RAG?,What is rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,clean,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_jordanian_synthetic_clean.wav
8,156,What is RAG?,What is rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,fast,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_jordanian_synthetic_fast.wav
9,156,What is RAG?,What is rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,office_noise,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_jordanian_synthetic_office_noise.wav
10,156,What is RAG?,What is rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,far,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_jordanian_synthetic_far.wav
11,156,What is RAG?,What is rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,poor_call,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_jordanian_synthetic_poor_call.wav
12,156,What is RAG?,What is rag,jordanian_synthetic,jordanian,offline synthetic approximation; not an authentic human national accent,combined,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_jordanian_synthetic_combined.wav
13,156,What is RAG?,Explain rag,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,clean,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_kuwaiti_synthetic_clean.wav
14,156,What is RAG?,Explain rag,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,fast,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_kuwaiti_synthetic_fast.wav
15,156,What is RAG?,Explain rag,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,office_noise,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_kuwaiti_synthetic_office_noise.wav
16,156,What is RAG?,Explain rag,kuwaiti_synthetic,kuwaiti,offline synthetic approximation; not an authentic human national accent,far,"internal documents, company knowledge, citation, update without retraining, retrieve then generate, ground the answer, our own files","RAG means retrieve, then generate. The model does not answer from memory. We search our documents first, then we give those pieces to the model. I used this for BTEC exam questions so the output stays on the unit content.",16000,1,audio/Q156_kuwaiti_synthetic_far.wav
